"시점","도서관별(1)",장서수(권),사서수(명),방문자 수(명),자료(인쇄)구입비(천원)
"2010","국립중앙도서관",6447239,147,801714,14959175
"2010","국회도서관",2779247,104,290563,4972953
"2010","법원도서관",320397,27,12099,1645469
"2011","국립중앙도서관",6835515,149,915862,4802240
"2011","국회도서관",2944610,128,326715,4992448
"2011","법원도서관",354236,27,10807,1639039
"2012","국립중앙도서관",7221738,153,946058,3355948
"2012","국회도서관",3141128,130,331289,4800091
"2012","법원도서관",339293,27,11226,1923807
"2013","국립중앙도서관",7873988,183,887352,5400527
"2013","국회도서관",3320256,142,295148,4816525
"2013","법원도서관",359119,27,11285,1870429
"2014","국립중앙도서관",8313533,185,1621144,6703658
"2014","국회도서관",3492956,146,299818,4822425
"2014","법원도서관",374313,27,2538,1923585
"2015","국립중앙도서관",8918398,193,1682638,7370413
"2015","국회도서관",3687884,185,289905,4708610
"2015","법원도서관",394237,28,12146,1899388
"2016","국립중앙도서관",9150726,190,1887206,5833454
"2016","국회도서관",3873333,190,265811,4239427
"2016","법원도서관",419092,26,11824,1956000
"2017","국립중앙도서관",9588864,242,1787910,5354245
"2017","국회도서관",4062657,237,294505,4210931
"2017","법원도서관",296363,23,8590,2409348
"2018","국립중앙도서관",10077539,205,1695713,6039987
"2018","국회도서관",4247163,188,327186,4131901
"2018","법원도서관",388583,23,10978,2408868
