date,rank,title,artist
2025.07.16,1,Golden,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast"
2025.07.16,2,FAMOUS,ALLDAY PROJECT
2025.07.16,3,Soda Pop,"KPop Demon Hunters Cast, Danny Chung, Saja Boys, Andrew Choi, Neckwav, Kevin Woo, samUIL Lee"
2025.07.16,4,Dirty Work,aespa
2025.07.16,5,Drowning,WOODZ
2025.07.16,6,뛰어(JUMP),BLACKPINK
2025.07.16,7,시작의 아이,마크툽 (MAKTUB)
2025.07.16,8,너에게 닿기를,10CM
2025.07.16,9,모르시나요(PROD.로코베리),조째즈
2025.07.16,10,어제보다 슬픈 오늘,우디 (Woody)
2025.07.16,11,Whiplash,aespa
2025.07.16,12,like JENNIE,제니 (JENNIE)
2025.07.16,13,Never Ending Story,아이유
2025.07.16,14,Your Idol,"KPop Demon Hunters Cast, Danny Chung, Saja Boys, Andrew Choi, Neckwav, Kevin Woo, samUIL Lee"
2025.07.16,15,"HOME SWEET HOME (feat. 태양, 대성)",G-DRAGON
2025.07.16,16,나는 반딧불,황가람
2025.07.16,17,청춘만화,이무진
2025.07.16,18,WICKED,ALLDAY PROJECT
2025.07.16,19,TOO BAD (feat. Anderson .Paak),G-DRAGON
2025.07.16,20,소나기,이클립스 (ECLIPSE)
2025.07.16,21,눈물참기,QWER
2025.07.16,22,HAPPY,DAY6 (데이식스)
2025.07.16,23,APT.,"로제 (ROSÉ), Bruno Mars"
2025.07.16,24,HANDS UP,MEOVV (미야오)
2025.07.16,25,REBEL HEART,IVE (아이브)
2025.07.16,26,오늘만 I LOVE YOU,BOYNEXTDOOR
2025.07.16,27,천상연,이창섭
2025.07.16,28,Flower,오반(OVAN)
2025.07.16,29,한 페이지가 될 수 있게,DAY6 (데이식스)
2025.07.16,30,내게 사랑이 뭐냐고 물어본다면,로이킴
2025.07.16,31,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤)
2025.07.16,32,LIKE YOU BETTER,프로미스나인
2025.07.16,33,빌려온 고양이 (Do the Dance),아일릿(ILLIT)
2025.07.16,34,Supernova,aespa
2025.07.16,35,MY LOVE(2025),"이예은, 아샤트리, 전건호"
2025.07.16,36,Welcome to the Show,DAY6 (데이식스)
2025.07.16,37,toxic till the end,로제 (ROSÉ)
2025.07.16,38,예뻤어,DAY6 (데이식스)
2025.07.16,39,Die With A Smile,"Lady Gaga, Bruno Mars"
2025.07.16,40,그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),너드커넥션 (Nerd Connection)
2025.07.16,41,How It’s Done,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast"
2025.07.16,42,HOT,LE SSERAFIM (르세라핌)
2025.07.16,43,네모의 꿈,아이유
2025.07.16,44,내 이름 맑음,QWER
2025.07.16,45,고민중독,QWER
2025.07.16,46,STYLE,Hearts2Hearts (하츠투하츠)
2025.07.16,47,주저하는 연인들을 위해,잔나비
2025.07.16,48,Love wins all,아이유
